name,price,description,img,category
紫薯花生180g,13.9,小零食,http://img3x4.ddimg.cn/46/8/60640714-1_b_4.jpg,0
东北松子100g,24.9,小零食,http://img3x6.ddimg.cn/68/30/60640736-1_b_1.jpg,0
琥珀桃仁168g 特产坚果 干果炒货,26.9,小零食,http://img3x0.ddimg.cn/16/3/60637120-1_b_4.jpg,0
板栗仁80g,11.9,小零食,http://img3x7.ddimg.cn/89/36/61863407-1_b_1.jpg,0
纸皮核桃180g 薄皮大核桃 干果炒货,24.3,小零食,http://img3x3.ddimg.cn/19/6/60637123-1_b_2.jpg,0
笑口板栗120g 带壳熟栗子零食特产甘栗,13.9,小零食,http://img3x2.ddimg.cn/18/5/60637122-1_b_4.jpg,0
兰花豆(盐焗味)210g 坚果炒货,14.6,小零食,http://img3x5.ddimg.cn/21/8/60637125-1_b_4.jpg,0
多味花生210g,14.9,小零食,http://img3x1.ddimg.cn/53/15/60640721-1_b_1.jpg,0
蟹香蚕豆180g,13.5,小零食,http://img3x3.ddimg.cn/55/17/60640723-1_b_1.jpg,0
风琴手撕鱿鱼片80g,18.9,小零食,http://img3x9.ddimg.cn/25/12/60637129-1_b_4.jpg,0
五香牛肉条 100g/袋 肉类零食特产,33.9,小零食,http://img3x3.ddimg.cn/41/4/60637343-1_b_2.jpg,0
白芝麻猪肉脯 100g 肉干肉脯,21,小零食,http://img3x8.ddimg.cn/14/1/60637118-1_b_4.jpg,0
麻辣味牛板筋125g 肉脯肉干 牛肉干,21.1,小零食,http://img3x8.ddimg.cn/24/11/60637128-1_b_2.jpg,0
话梅味 西瓜子 200g/袋,14.9,小零食,http://img3x9.ddimg.cn/91/1/61863409-1_b_1.jpg,0
牛肉片(五香味)100g 肉类小吃牛肉片五香味,33.9,小零食,http://img3x9.ddimg.cn/15/2/60637119-1_b_4.jpg,0
肉枣(烟熏味)180g,31.7,小零食,http://img3x6.ddimg.cn/58/20/60640726-1_b_1.jpg,0
鱿鱼足80g,17.8,小零食,http://img3x9.ddimg.cn/61/23/60640729-1_b_1.jpg,0
山椒凤爪200g,36.9,小零食,http://img3x1.ddimg.cn/27/14/60637131-1_b_4.jpg,0
脱皮鱿鱼丝鱼类小食 80g/袋 休闲零食,25.2,小零食,http://img3x8.ddimg.cn/36/36/60637338-1_b_2.jpg,0
香酥小黄鱼200g,28.4,小零食,http://img3x8.ddimg.cn/70/32/60640738-1_b_1.jpg,0
猪肉条(香辣味)100g,21,小零食,http://img3x3.ddimg.cn/65/27/60640733-1_b_1.jpg,0
牛肉豆脯（五香味） 240g,16.2,小零食,http://img3x2.ddimg.cn/63/15/61872192-1_b_2.jpg,0
牛肉豆脯（香辣味） 240g,29.9,小零食,http://img3x2.ddimg.cn/28/3/61871662-1_b_1.jpg,0
鸭脖(甜辣)170g,23.2,小零食,http://img3x1.ddimg.cn/63/25/60640731-1_b_1.jpg,0
香辣鸭翅 165g,29.9,小零食,http://img3x9.ddimg.cn/35/10/61871669-1_b_1.jpg,0
炭烤脆骨肠（麻辣味） 180g,14.8,小零食,http://img3x8.ddimg.cn/69/21/61872198-1_b_1.jpg,0
香辣小鸡腿 190g,29.5,小零食,http://img3x2.ddimg.cn/38/13/61871672-1_b_1.jpg,0
芝士鳕鱼肠 90g,19.9,小零食,http://img3x3.ddimg.cn/29/4/61871663-1_b_1.jpg,0
无骨鸭掌（甜辣味） 100g,34.9,小零食,http://img3x1.ddimg.cn/27/2/61871661-1_b_1.jpg,0
海苔芝麻肉绒 90g,29.9,小零食,http://img3x4.ddimg.cn/30/5/61871664-1_b_1.jpg,0
草莓干100g,19,小零食,http://img3x2.ddimg.cn/44/6/60640712-1_b_1.jpg,0
蔓越莓干 100g/袋,17.7,小零食,http://img3x9.ddimg.cn/81/28/61863399-1_b_1.jpg,0
芒果干100g,21,小零食,http://img3x9.ddimg.cn/51/13/60640719-1_b_1.jpg,0
冰糖山楂120g,16.9,小零食,http://img3x0.ddimg.cn/62/24/60640730-1_b_1.jpg,0
无核白葡萄干100g,17.7,小零食,http://img3x9.ddimg.cn/96/11/61864899-1_b_1.jpg,0
黄桃干100g 蜜饯果干,15.8,小零食,http://img3x6.ddimg.cn/22/9/60637126-1_b_2.jpg,0
杨梅干100g,23.9,小零食,http://img3x1.ddimg.cn/83/30/61863401-1_b_1.jpg,0
玫瑰红葡萄干 200g,14.6,小零食,http://img3x3.ddimg.cn/53/11/60639533-1_b_1.jpg,0
菠萝干 100g,17.8,小零食,http://img3x0.ddimg.cn/82/29/61863400-1_b_1.jpg,0
白桃干100g,16.8,小零食,http://img3x3.ddimg.cn/86/17/60638873-1_b_2.jpg,0
野酸味枣片228g,26.9,小零食,http://img3x8.ddimg.cn/60/22/60640728-1_b_1.jpg,0
红杏干100g,15.8,小零食,http://img3x7.ddimg.cn/59/21/60640727-1_b_1.jpg,0
水晶柠檬片65g,14.7,小零食,http://img3x4.ddimg.cn/87/18/60638874-1_b_1.jpg,0
黑加仑葡萄干200g,18.9,小零食,http://img3x7.ddimg.cn/69/31/60640737-1_b_1.jpg,0
综合蔬果条 90g,24.9,小零食,http://img3x3.ddimg.cn/39/14/61871673-1_b_1.jpg,0
木瓜干100g,17.9,小零食,http://img3x4.ddimg.cn/66/28/60640734-1_b_1.jpg,0
小米锅巴烧烤味 80g,10.5,小零食,http://img3x4.ddimg.cn/2/16/61864904-1_b_1.jpg,0
玉米片 海苔味 75g,10.4,小零食,http://img3x5.ddimg.cn/60/19/61870605-1_b_1.jpg,0
山药片（香辣味） 45g,4.6,小零食,http://img3x7.ddimg.cn/68/20/61872197-1_b_1.jpg,0
番茄味薯条 90g,9.9,小零食,http://img3x9.ddimg.cn/60/12/61872189-1_b_1.jpg,0
拉面丸子（麻辣味） 50g,6.2,小零食,http://img3x5.ddimg.cn/41/16/61871675-1_b_1.jpg,0
原味薯条90g,21.1,小零食,http://img3x4.ddimg.cn/59/18/61870604-1_b_1.jpg,0
糯米锅巴 香辣味 280g,24.9,小零食,http://img3x8.ddimg.cn/34/9/61871668-1_b_1.jpg,0
糯米锅巴 原味 280g,24.9,小零食,http://img3x7.ddimg.cn/33/8/61871667-1_b_1.jpg,0
海苔卷（原味）30g,26.3,小零食,http://img3x6.ddimg.cn/61/20/61870606-1_b_1.jpg,0
综合蔬果条 90g,22.9,小零食,http://img3x0.ddimg.cn/71/23/61872200-1_b_1.jpg,0
秋葵脆 50g,24.2,小零食,http://img3x0.ddimg.cn/36/11/61871670-1_b_1.jpg,0
香辣卤藕 180g,19.9,小零食,http://img3x6.ddimg.cn/67/19/61872196-1_b_1.jpg,0
泡椒脆笋 200g,7.9,小零食,http://img3x5.ddimg.cn/66/18/61872195-1_b_1.jpg,0
山楂卷 228g,6.5,小零食,http://img3x0.ddimg.cn/61/13/61872190-1_b_1.jpg,0
巴旦木夹心海苔脆片 40g,21.8,小零食,http://img3x1.ddimg.cn/98/13/61864901-1_b_1.jpg,0
紫薯条  90g,19.9,小零食,http://img3x6.ddimg.cn/32/7/61871666-1_b_1.jpg,0
蔬果条（芋头条） 90g,25.9,小零食,http://img3x9.ddimg.cn/70/22/61872199-1_b_1.jpg,0
卤香味鹌鹑蛋128g,28.4,小零食,http://img3x1.ddimg.cn/73/35/60640741-1_b_1.jpg,0
炭烧腰果150g,30.5,小零食,http://img3x5.ddimg.cn/57/19/60640725-1_b_1.jpg,0
山楂条 228g,12.9,小零食,http://img3x1.ddimg.cn/62/14/61872191-1_b_1.jpg,0
碧根果150g,29.6,小零食,http://img3x8.ddimg.cn/50/12/60640718-1_b_1.jpg,0
夏威夷果(奶油味)150g,29.6,小零食,http://img3x6.ddimg.cn/48/10/60640716-1_b_1.jpg,0
巴旦木(奶油味)150g,22.9,小零食,http://img3x7.ddimg.cn/49/11/60640717-1_b_1.jpg,0
紫薯花生180g,13.9,小零食,http://img3x4.ddimg.cn/46/8/60640714-1_b_4.jpg,0
东北松子100g,24.9,小零食,http://img3x6.ddimg.cn/68/30/60640736-1_b_1.jpg,0
琥珀桃仁168g 特产坚果 干果炒货,26.9,小零食,http://img3x0.ddimg.cn/16/3/60637120-1_b_4.jpg,0
开心果150g红版,35.7,小零食,http://img3x2.ddimg.cn/0/14/61864902-1_b_1.jpg,0
板栗仁80g,11.9,小零食,http://img3x7.ddimg.cn/89/36/61863407-1_b_1.jpg,0
多味花生210g,14.9,小零食,http://img3x1.ddimg.cn/53/15/60640721-1_b_1.jpg,0
笑口板栗120g 带壳熟栗子零食特产甘栗,13.9,小零食,http://img3x2.ddimg.cn/18/5/60637122-1_b_4.jpg,0
兰花豆(盐焗味)210g 坚果炒货,14.6,小零食,http://img3x5.ddimg.cn/21/8/60637125-1_b_4.jpg,0
蟹香蚕豆180g,13.5,小零食,http://img3x3.ddimg.cn/55/17/60640723-1_b_1.jpg,0
纸皮核桃180g 薄皮大核桃 干果炒货,24.3,小零食,http://img3x3.ddimg.cn/19/6/60637123-1_b_2.jpg,0
话梅味 西瓜子 200g/袋,14.9,小零食,http://img3x9.ddimg.cn/91/1/61863409-1_b_1.jpg,0
五香牛肉条 100g/袋 肉类零食特产,33.9,小零食,http://img3x3.ddimg.cn/41/4/60637343-1_b_2.jpg,0
麻辣味牛板筋125g 肉脯肉干 牛肉干,21.1,小零食,http://img3x8.ddimg.cn/24/11/60637128-1_b_2.jpg,0
风琴手撕鱿鱼片80g,18.9,小零食,http://img3x9.ddimg.cn/25/12/60637129-1_b_4.jpg,0
白芝麻猪肉脯 100g 肉干肉脯,21,小零食,http://img3x8.ddimg.cn/14/1/60637118-1_b_4.jpg,0
脱皮鱿鱼丝鱼类小食 80g/袋 休闲零食,25.2,小零食,http://img3x8.ddimg.cn/36/36/60637338-1_b_2.jpg,0
鱿鱼足80g,17.8,小零食,http://img3x9.ddimg.cn/61/23/60640729-1_b_1.jpg,0
山椒凤爪200g,36.9,小零食,http://img3x1.ddimg.cn/27/14/60637131-1_b_4.jpg,0
牛肉片(五香味)100g 肉类小吃牛肉片五香味,33.9,小零食,http://img3x9.ddimg.cn/15/2/60637119-1_b_4.jpg,0
肉枣(烟熏味)180g,31.7,小零食,http://img3x6.ddimg.cn/58/20/60640726-1_b_1.jpg,0
鸭脖(甜辣)170g,23.2,小零食,http://img3x1.ddimg.cn/63/25/60640731-1_b_1.jpg,0
牛肉豆脯（五香味） 240g,16.2,小零食,http://img3x2.ddimg.cn/63/15/61872192-1_b_2.jpg,0
牛肉豆脯（香辣味） 240g,29.9,小零食,http://img3x2.ddimg.cn/28/3/61871662-1_b_1.jpg,0
猪肉条(香辣味)100g,21,小零食,http://img3x3.ddimg.cn/65/27/60640733-1_b_1.jpg,0
香酥小黄鱼200g,28.4,小零食,http://img3x8.ddimg.cn/70/32/60640738-1_b_1.jpg,0
香辣小鸡腿 190g,29.5,小零食,http://img3x2.ddimg.cn/38/13/61871672-1_b_1.jpg,0
无骨鸭掌（甜辣味） 100g,34.9,小零食,http://img3x1.ddimg.cn/27/2/61871661-1_b_1.jpg,0
芝士鳕鱼肠 90g,19.9,小零食,http://img3x3.ddimg.cn/29/4/61871663-1_b_1.jpg,0
炭烤脆骨肠（麻辣味） 180g,14.8,小零食,http://img3x8.ddimg.cn/69/21/61872198-1_b_1.jpg,0
冰糖山楂120g,16.9,小零食,http://img3x0.ddimg.cn/62/24/60640730-1_b_1.jpg,0
香辣鸭翅 165g,29.9,小零食,http://img3x9.ddimg.cn/35/10/61871669-1_b_1.jpg,0
海苔芝麻肉绒 90g,29.9,小零食,http://img3x4.ddimg.cn/30/5/61871664-1_b_1.jpg,0
蔓越莓干 100g/袋,17.7,小零食,http://img3x9.ddimg.cn/81/28/61863399-1_b_1.jpg,0
芒果干100g,21,小零食,http://img3x9.ddimg.cn/51/13/60640719-1_b_1.jpg,0
草莓干100g,19,小零食,http://img3x2.ddimg.cn/44/6/60640712-1_b_1.jpg,0
杨梅干100g,23.9,小零食,http://img3x1.ddimg.cn/83/30/61863401-1_b_1.jpg,0
玫瑰红葡萄干 200g,14.6,小零食,http://img3x3.ddimg.cn/53/11/60639533-1_b_1.jpg,0
黄桃干100g 蜜饯果干,15.8,小零食,http://img3x6.ddimg.cn/22/9/60637126-1_b_2.jpg,0
无核白葡萄干100g,17.7,小零食,http://img3x9.ddimg.cn/96/11/61864899-1_b_1.jpg,0
白桃干100g,16.8,小零食,http://img3x3.ddimg.cn/86/17/60638873-1_b_2.jpg,0
菠萝干 100g,17.8,小零食,http://img3x0.ddimg.cn/82/29/61863400-1_b_1.jpg,0
黑加仑葡萄干200g,18.9,小零食,http://img3x7.ddimg.cn/69/31/60640737-1_b_1.jpg,0
野酸味枣片228g,26.9,小零食,http://img3x8.ddimg.cn/60/22/60640728-1_b_1.jpg,0
红杏干100g,15.8,小零食,http://img3x7.ddimg.cn/59/21/60640727-1_b_1.jpg,0
木瓜干100g,17.9,小零食,http://img3x4.ddimg.cn/66/28/60640734-1_b_1.jpg,0
